date,amount,category,description
20-07-2024,125.65,Income,Salary
03-05-2025,125.0,Income,Salary
05-01-2024,500.00,Income,Freelance Work
10-01-2024,45.00,Expense,Grocery Shopping
20-02-2024,1200.00,Income,Salary
25-02-2024,60.00,Expense,Internet Bill
15-03-2024,150.00,Expense,Electricity Bill
01-04-2024,1300.00,Income,Salary
07-04-2024,90.00,Expense,Clothing
10-05-2024,1450.00,Income,Project Bonus
13-05-2024,120.00,Expense,Restaurant
01-06-2024,1250.00,Income,Salary
18-06-2024,75.00,Expense,Subscription
20-07-2024,125.65,Income,Salary
22-07-2024,65.00,Expense,Books
01-08-2024,1300.00,Income,Freelance Project
03-09-2024,140.00,Expense,Transportation
17-10-2024,1500.00,Income,Salary
20-11-2024,50.00,Expense,Snacks
03-01-2025,1250.00,Income,Salary
12-02-2025,100.00,Expense,Medical
14-03-2025,100.00,Expense,Donation
10-04-2025,1600.00,Income,Consulting Work
03-05-2025,125.00,Income,Salary
15-06-2025,95.00,Expense,Movie Night
20-07-2025,1350.00,Income,Freelance Writing
21-08-2025,110.00,Expense,Online Course
01-10-2025,1500.00,Income,Salary
12-12-2025,70.00,Expense,Gift